"Gene_ID"	"SRR8368679"	"SRR8368680"	"SRR8368681"	"SRR8368682"	"SRR8368683"	"SRR8368684"
"Rv2130c"	374	474	447	396	411	246
"Rv2131c"	307	327	405	319	311	213
"Rv2132"	190	255	247	159	130	88
"Rv2133c"	179	280	283	185	282	125
"Rv2134c"	361	356	362	324	371	167
"Rv2135c"	198	237	257	176	213	105
"Rv2136c"	573	482	571	535	527	168
"Rv2137c"	2103	2834	3247	2154	2774	838
"Rv2138"	458	432	395	355	333	145
"Rv2139"	392	385	400	285	365	184
"Rv2140c"	101	139	131	118	154	79
"Rv2141c"	297	357	333	299	310	233
"Rv2142A"	109	158	166	105	94	63
"Rv2142c"	51	33	37	37	24	22
"Rv2143"	290	238	292	274	283	141
"Rv2144c"	945	1142	1025	1041	1015	291
"Rv2145c"	1828	1851	2003	2370	1841	905
"Rv2146c"	314	310	356	346	382	193
"Rv2147c"	1066	1150	1163	1141	996	625
"Rv2148c"	123	166	186	129	128	93
"Rv2149c"	199	282	288	178	259	135
"Rv2150c"	987	1293	1281	1007	1135	699
"Rv2151c"	195	243	245	188	217	175
"Rv2152c"	306	429	464	349	404	315
"Rv2153c"	299	343	347	292	341	234
"Rv2154c"	694	898	919	762	844	605
"Rv2155c"	427	627	663	423	497	283
"Rv2156c"	568	738	741	507	639	330
"Rv2157c"	445	642	665	433	541	296
"Rv2158c"	1178	1359	1444	1091	1343	530
"Rv2159c"	1911	2644	2726	1675	2293	774
"Rv2161c"	3364	3923	4765	3479	4001	1022
"Rv2162c"	1955	2490	2945	2393	2554	882
"Rv2163c"	651	911	931	745	832	661
"Rv2164c"	176	244	297	227	276	273
"Rv2165c"	261	337	379	327	381	265
"Rv2166c"	327	528	464	401	397	215
"Rv2169c"	368	484	518	471	468	116
"Rv2170"	59	48	51	45	39	55
"Rv2171"	106	134	148	127	116	68
"Rv2172c"	431	513	516	418	419	222
"Rv2173"	229	305	355	236	306	168
"Rv2174"	241	308	275	260	302	176
"Rv2175c"	134	123	141	123	98	57
"Rv2176"	259	193	220	233	159	128
"Rv2177c"	23	32	44	37	48	38
"Rv2178c"	665	857	805	782	792	460
"Rv2179c"	38	20	16	26	26	28
"Rv2180c"	78	73	62	79	59	69
"Rv2181"	358	346	377	352	371	243
"Rv2182c"	933	1057	1130	936	951	523
"Rv2183c"	168	201	192	138	147	143
"Rv2184c"	536	576	638	505	580	273
"Rv2185c"	796	945	980	786	776	405
"Rv2186c"	104	138	131	99	96	81
"Rv2187"	869	993	1096	944	988	610
"Rv2188c"	144	141	196	130	132	120
"Rv2189c"	157	157	172	106	127	86
"Rv2190c"	3453	3428	3564	2774	2431	996
"Rv2191"	57	76	87	55	73	122
"Rv2192c"	126	163	206	155	143	130
"Rv2193"	641	659	652	631	532	340
"Rv2194"	499	645	625	493	522	452
"Rv2195"	1100	1455	1498	1199	1368	952
"Rv2196"	1815	2060	2443	1950	2162	1866
"Rv2197c"	344	385	432	334	378	221
"Rv2198c"	339	386	412	343	345	168
"Rv2199c"	408	477	515	448	467	302
"Rv2200c"	1208	1227	1169	1245	1157	806
